,id,text,annotations
0,143048389142134785,Ce soir c'est l'élection de #missfrance et je vais me faire un plaisir de NE PAS regarder.,"{'topics': [{'name': 'élection de #missfrance', 'opinion': 'negative'}], 'negative_keywords': ['pas plaisir'], 'positive_keywords': ['plaisir']}"
1,143048457261809664,"Ce soir c'est Miss France, pour ceux qui ne le savent pas :D !! #MissFrance","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
2,143049242305495040,#medtaha #MIT Miss France 2012 : c'est ce soir ! - TF1 http://t.co/7ERYcBp1 #àlaune,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
3,143049254485753856,@LorieOfficiel Bon courage Lorie et que la Meilleure gagne #MissFrance !,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
4,143050282803281921,DSK dans le jury TF1 pour les Miss #missfrance2012,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
5,143050329859170305,Miss France :D #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
6,143050484637368320,Attendez moi TF1 !!! je suis pas encore prête !!! Miss France 2012 c'est moi !! #missfrance2012,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
7,143050503029407745,Salle comble pour la soirée Miss France sur #TF1. Ya vraiment des gens qui paient pour assister à ça ?,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
8,143050607295610880,Boycott de Miss France comme chaque année! Tant qu'ils mettrons ce programme CONTRE le téléthon! je trouve ça digne de TF1!,"{'topics': [{'name': 'Miss France', 'opinion': 'negative'}], 'negative_keywords': ['boycott'], 'positive_keywords': []}"
9,143050730738163713,Miss France 2012 dans quelques minutes sur #TF1 without Genevieve de Fontenay,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
10,143050858379231232,Je viens de voir @MenardMalika sur #tf1 &lt;3 ! Cette femme est trop belle !,"{'topics': [{'name': 'MenardMalika', 'opinion': 'positive'}, {'name': 'MenardMalika', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['belle', '<3']}"
11,143050921541238784,@DenisBrogniart Vivement 20h50 pour la soirée sur Tf1 !! :) Je suis pour la Provence et la Bourgogne !! :),"{'topics': [{'name': 'Provence', 'opinion': 'positive'}, {'name': 'Bourgogne', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['pour', 'pour']}"
12,143050980655759360,Allez Alison Cossenet : Miss France Languedoc Roussillon #Miss France 2012 TF1 http://t.co/18fhDHMV,"{'topics': [{'name': 'Alison Cossenet', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['allez']}"
13,143051271551717376,"Va comater devant les Miss ce soir, enfin surtout critiquer #MissFrance","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
14,143051464070275072,"Yeaaah Election de Miss France ce soiir, je vais regarder ça c'est certain ! :) #TF1.","{'topics': [{'name': 'Election de Miss France', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['yeaaah']}"
15,143051618726854656,Ce soir on verra dieu il est sur TF1 dans le jury des miss !! Sauve qui peut !!!!,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
16,143051858351620096,Mes préférées pour ce soir (en photo du moins) : Miss Tahiti et Miss Provence #MissFrance,"{'topics': [{'name': 'Miss Tahiti', 'opinion': 'positive'}, {'name': 'Miss Provence', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['préférées', 'préférées']}"
17,143052016514641920,Dans les bouchons ac @Karimacharni  on veut rentrer voir #missfrance Attendez ns! (cc @lietteju @MenardMalika @ARosenfeldOffic @LauraTreves,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
18,143052071116091392,Soirée #MissFrance ça va être fun!! Un défilé de bombasse ou ... De thon on verra bien! #TweetBitch,"{'topics': [{'name': 'Soirée #MissFrance', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['fun']}"
19,143052788635668482,Regarde Tf1 ---&gt; Miss France 2012!!!,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
20,143053093737734144,@SSestimations Nous animons un LT autour de l'élection de #MissFrance :),"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
21,143053350013894656,Miss France on va bien rigoler  #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
22,143053486836297729,"à toutes celles qui rêvent de participer à Miss France, je vous rappelle que la taille requise et de 1.70m. ça calme hein ? #missfrance","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
23,143053560605704192,"Ce soir, élection de Miss Fin du Monde. #TF1","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
24,143053715396501504,"Pipi, eau, twitter, TF1 ... Je suis prete pour Miss France !!!","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
25,143053915095695361,La Miss Champagne-Ardenne ... c'est toujours pas ça ! On a pourtant des belles femmes dans notre région... #MissFrance #ChampagneArdenne,"{'topics': [{'name': 'femmes dans notre région', 'opinion': 'positive'}, {'name': 'Miss Champagne-Ardenne', 'opinion': 'negative'}], 'negative_keywords': ['ça'], 'positive_keywords': ['belles']}"
26,143053935568109568,@StephPqrJcq Brest mem' #bzhpowa #tf1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
27,143054170654650370,"Bon ce soir, c'est élection #missfrance!! Ne cherchez pas à voter, je ne me suis pas presentée cette année ","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
28,143054415987871744,"Video : Miss France 2012, choisissez c'est ce soir sur TF1: 33 jeunes filles sont en piste pour gagn... http://t.co/k3CtGo49 Vidéo buzz","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
29,143054612939812864,#missfrance !!!! Aller Picardie et Roussillon :D,"{'topics': [{'name': 'Picardie', 'opinion': 'positive'}, {'name': 'Roussillon', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['aller', 'aller']}"
30,143054624356704256,@Laurielle_UR_JB regarde miss france ca commence mtn sur tf1 g oublie c a kel h,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
31,143054870398767104,#MissFrance: ce soir spéciale élection de la meilleure p*te made in Endemol #teamgenevieve,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
32,143054897212952576,Sa devrait être facile de trouver plus belle que Laury Thilleman pour la nouvelle miss france. #TF1,"{'topics': [{'name': 'Laury Thilleman', 'opinion': 'negative'}], 'negative_keywords': ['belle'], 'positive_keywords': []}"
33,143055235470983168,#nw - Election Miss France 2012. - #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
34,143055261869940736,Tout le monde sur TF1 pour l'Election Miss France 2012! #CoupDePub En général je cautionne pas ces gros coups mais là... C'est un culte.,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
35,143055284942798848,"Attention ! Prise d'antenne imminente !! On se prépare, on s'installe et on regarde #missfrance sur #TF1 en direct de #Brest","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
36,143055336994115584,Miss France tonight ? #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
37,143055438492082176,Ce soir je vais largement critiquer les Miss France #MissFrance #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
38,143055546268917761,Election of Miss France 2O12 tonight on #TF1 channel #TeamFollowBack #FollowBack #FollowMeIFolloWu,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
39,143055730621165568,"apres le JT , ils ont dit : Tout de suite Miss France , -- ça va faire 1 quart d'heure qu'on attend mais bon #MissFrance","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
40,143055792638136320,Et c'est la soirée dindes sur TF1 ... #missfrance2012,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
41,143055847482867712,Miss France commence. :) #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
42,143055850620207104,Miss France 2012 : suivez le prime en direct - News Election de Miss France 2012 - TF1 http://t.co/RJAl9I2a,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
43,143055883042172928,"Go #MissFrance ... Picardie, Provence, Languedoc, Bretagne, Poitou Charente ... Voilà voilà !","{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
44,143055906505101312,Miss france et ses 185759 sponsors.. #MissFrance,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
45,143055919218040833,Watching Miss France #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
46,143055925211705344,#MissFrance ... Lest's Go !! @LauryThilleman sublime ♥,"{'topics': [{'name': 'LauryThilleman', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['sublime']}"
47,143055948569776128,Miss france #tf1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
48,143055984703713280,Election Miss France en Bretagne. C'est bon ça #TF1,"{'topics': [{'name': 'Election', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['ça']}"
49,143056047148511232,Toujours la même chanson depuis 50 ans xD #MissFrance,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
50,143056076147924994,Nw Miss France #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
51,143056085044035585,Miss France commence #MissFrance #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
52,143056099405340672,Watching Miss France hehe I'm a dork! :) #missfrance,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
53,143056102551064578,Miss France Commence Maintenant !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
54,143056132741660673,#missFrance  ou comment sourire comme une conne pendant 3 bonnes heures ... Bonne soirée :),"{'topics': [{'name': 'sourire', 'opinion': 'positive'}], 'negative_keywords': [], 'positive_keywords': ['conne']}"
55,143056135937732608,Miss France version KKK. #TF1,"{'topics': [{'name': 'Miss France', 'opinion': 'negative'}], 'negative_keywords': ['kkk'], 'positive_keywords': []}"
56,143056203759616000,ouhouh ambiance Druides à Brocéliande à Penfeld! #missfrance2012 #TF1,"{'topics': [], 'negative_keywords': [], 'positive_keywords': []}"
